Mobile_Device,bootstrap_sample_mean
iPhone 17 Pro Max,95.9018
iPhone 17 Pro Max,91.4781
iPhone 17 Pro Max,92.8228
iPhone 17 Pro Max,92.9233
iPhone 17 Pro Max,93.991
iPhone 17 Pro Max,93.6663
iPhone 17 Pro Max,94.6283
iPhone 17 Pro Max,95.9639
iPhone 17 Pro Max,94.8997
iPhone 17 Pro Max,93.8301
iPhone 17 Pro Max,95.5862
iPhone 17 Pro Max,93.8109
iPhone 17 Pro Max,93.7587
iPhone 17 Pro Max,94.3802
iPhone 17 Pro Max,93.4641
iPhone 17 Pro Max,92.4639
iPhone 17 Pro Max,94.8967
iPhone 17 Pro Max,93.0056
iPhone 17 Pro Max,94.202
iPhone 17 Pro Max,94.9953
iPhone 17 Pro Max,93.5209
iPhone 17 Pro Max,95.9342
iPhone 17 Pro Max,94.976
iPhone 17 Pro Max,95.941
iPhone 17 Pro Max,95.9561
iPhone 17 Pro Max,94.89
iPhone 17 Pro Max,92.6042
iPhone 17 Pro Max,93.3399
iPhone 17 Pro Max,93.2823
iPhone 17 Pro Max,96.7622
iPhone 17 Pro Max,94.1773
iPhone 17 Pro Max,94.9716
iPhone 17 Pro Max,94.2449
iPhone 17 Pro Max,92.3648
iPhone 17 Pro Max,92.9322
iPhone 17 Pro Max,93.2363
iPhone 17 Pro Max,94.679
iPhone 17 Pro Max,94.5119
iPhone 17 Pro Max,94.5499
iPhone 17 Pro Max,93.131
iPhone 17 Pro Max,94.3248
iPhone 17 Pro Max,95.3992
iPhone 17 Pro Max,94.6171
iPhone 17 Pro Max,94.0019
iPhone 17 Pro Max,95.1751
iPhone 17 Pro Max,95.3957
iPhone 17 Pro Max,93.9167
iPhone 17 Pro Max,94.6752
iPhone 17 Pro Max,94.2401
iPhone 17 Pro Max,95.8943
iPhone 17 Pro Max,93.9549
iPhone 17 Pro Max,95.8038
iPhone 17 Pro Max,95.7522
iPhone 17 Pro Max,92.9408
iPhone 17 Pro Max,95.4699
iPhone 17 Pro Max,94.9206
iPhone 17 Pro Max,95.9115
iPhone 17 Pro Max,91.6194
iPhone 17 Pro Max,94.2343
iPhone 17 Pro Max,91.4886
iPhone 17 Pro Max,93.3589
iPhone 17 Pro Max,93.0331
iPhone 17 Pro Max,95.5329
iPhone 17 Pro Max,94.0422
iPhone 17 Pro Max,93.856
iPhone 17 Pro Max,94.4594
iPhone 17 Pro Max,93.2889
iPhone 17 Pro Max,93.934
iPhone 17 Pro Max,93.9928
iPhone 17 Pro Max,94.4505
iPhone 17 Pro Max,94.4953
iPhone 17 Pro Max,92.3225
iPhone 17 Pro Max,95.132
iPhone 17 Pro Max,94.7052
iPhone 17 Pro Max,94.3902
iPhone 17 Pro Max,93.3992
iPhone 17 Pro Max,94.2368
iPhone 17 Pro Max,93.9674
iPhone 17 Pro Max,95.4134
iPhone 17 Pro Max,94.7355
iPhone 17 Pro Max,95.5983
iPhone 17 Pro Max,92.6969
iPhone 17 Pro Max,93.2986
iPhone 17 Pro Max,93.8404
iPhone 17 Pro Max,92.7822
iPhone 17 Pro Max,92.9973
iPhone 17 Pro Max,94.7128
iPhone 17 Pro Max,95.5116
iPhone 17 Pro Max,93.5308
iPhone 17 Pro Max,91.8521
iPhone 17 Pro Max,95.272
iPhone 17 Pro Max,92.7869
iPhone 17 Pro Max,93.5393
iPhone 17 Pro Max,93.5897
iPhone 17 Pro Max,94.7682
iPhone 17 Pro Max,95.3383
iPhone 17 Pro Max,94.2632
iPhone 17 Pro Max,92.4476
iPhone 17 Pro Max,93.5246
iPhone 17 Pro Max,94.2998
iPhone 17 Pro Max,94.5545
iPhone 17 Pro Max,95.2072
iPhone 17 Pro Max,94.6974
iPhone 17 Pro Max,93.6881
iPhone 17 Pro Max,94.2586
iPhone 17 Pro Max,96.0164
iPhone 17 Pro Max,95.3588
iPhone 17 Pro Max,94.6864
iPhone 17 Pro Max,93.4754
iPhone 17 Pro Max,94.6675
iPhone 17 Pro Max,92.6729
iPhone 17 Pro Max,95.1535
iPhone 17 Pro Max,95.2962
iPhone 17 Pro Max,94.9156
iPhone 17 Pro Max,93.9863
iPhone 17 Pro Max,94.7048
iPhone 17 Pro Max,93.5818
iPhone 17 Pro Max,95.7573
iPhone 17 Pro Max,94.7368
iPhone 17 Pro Max,95.0564
iPhone 17 Pro Max,93.9705
iPhone 17 Pro Max,94.7863
iPhone 17 Pro Max,94.6628
iPhone 17 Pro Max,94.076
iPhone 17 Pro Max,93.9644
iPhone 17 Pro Max,94.2522
iPhone 17 Pro Max,95.8908
iPhone 17 Pro Max,94.7837
iPhone 17 Pro Max,94.5183
iPhone 17 Pro Max,94.5268
iPhone 17 Pro Max,93.6902
iPhone 17 Pro Max,92.9525
iPhone 17 Pro Max,94.0407
iPhone 17 Pro Max,92.7345
iPhone 17 Pro Max,93.4207
iPhone 17 Pro Max,94.4864
iPhone 17 Pro Max,94.9767
iPhone 17 Pro Max,91.1146
iPhone 17 Pro Max,94.3104
iPhone 17 Pro Max,94.4495
iPhone 17 Pro Max,93.4247
iPhone 17 Pro Max,94.3213
iPhone 17 Pro Max,95.5092
iPhone 17 Pro Max,95.9741
iPhone 17 Pro Max,95.1018
iPhone 17 Pro Max,92.4974
iPhone 17 Pro Max,93.8672
iPhone 17 Pro Max,94.5069
iPhone 17 Pro Max,93.1772
iPhone 17 Pro Max,93.539
iPhone 17 Pro Max,95.1485
iPhone 17 Pro Max,94.0417
iPhone 17 Pro Max,95.5696
iPhone 17 Pro Max,94.935
iPhone 17 Pro Max,94.1786
iPhone 17 Pro Max,93.9762
iPhone 17 Pro Max,93.8563
iPhone 17 Pro Max,95.2024
iPhone 17 Pro Max,96.1183
iPhone 17 Pro Max,94.2921
iPhone 17 Pro Max,94.1358
iPhone 17 Pro Max,93.3115
iPhone 17 Pro Max,93.6908
iPhone 17 Pro Max,92.9615
iPhone 17 Pro Max,95.3955
iPhone 17 Pro Max,93.7392
iPhone 17 Pro Max,95.0582
iPhone 17 Pro Max,93.8368
iPhone 17 Pro Max,93.3402
iPhone 17 Pro Max,92.4986
iPhone 17 Pro Max,91.8566
iPhone 17 Pro Max,94.6626
iPhone 17 Pro Max,94.5705
iPhone 17 Pro Max,93.1746
iPhone 17 Pro Max,95.3884
iPhone 17 Pro Max,94.3495
iPhone 17 Pro Max,95.2228
iPhone 17 Pro Max,93.9866
iPhone 17 Pro Max,96.7141
iPhone 17 Pro Max,93.5345
iPhone 17 Pro Max,94.7836
iPhone 17 Pro Max,92.7553
iPhone 17 Pro Max,94.0602
iPhone 17 Pro Max,95.3053
iPhone 17 Pro Max,94.6554
iPhone 17 Pro Max,92.4811
iPhone 17 Pro Max,91.4815
iPhone 17 Pro Max,94.338
iPhone 17 Pro Max,93.1129
iPhone 17 Pro Max,91.9875
iPhone 17 Pro Max,94.4651
iPhone 17 Pro Max,94.4909
iPhone 17 Pro Max,96.0752
iPhone 17 Pro Max,92.8598
iPhone 17 Pro Max,94.4447
iPhone 17 Pro Max,95.3523
iPhone 17 Pro Max,93.4665
iPhone 17 Pro Max,95.7079
iPhone 17 Pro Max,95.8838
iPhone 17 Pro Max,93.1344
iPhone 17 Pro Max,95.3113
iPhone 17 Pro Max,93.699
iPhone 17 Pro Max,94.3214
iPhone 17 Pro Max,93.2741
iPhone 17 Pro Max,94.5455
iPhone 17 Pro Max,93.8412
iPhone 17 Pro Max,93.1501
iPhone 17 Pro Max,93.5212
iPhone 17 Pro Max,93.9234
iPhone 17 Pro Max,93.7389
iPhone 17 Pro Max,94.5762
iPhone 17 Pro Max,94.0851
iPhone 17 Pro Max,93.5074
iPhone 17 Pro Max,93.401
iPhone 17 Pro Max,94.3576
iPhone 17 Pro Max,95.1493
iPhone 17 Pro Max,93.5449
iPhone 17 Pro Max,95.215
iPhone 17 Pro Max,92.7939
iPhone 17 Pro Max,96.1945
iPhone 17 Pro Max,92.6378
iPhone 17 Pro Max,92.5559
iPhone 17 Pro Max,93.1278
iPhone 17 Pro Max,94.8402
iPhone 17 Pro Max,94.8092
iPhone 17 Pro Max,93.1272
iPhone 17 Pro Max,95.194
iPhone 17 Pro Max,93.6594
